symbol,name,date,price
AMZN,Amazon.com Inc,Feb 2018,1413.91
NFLX,Netflix Inc.,Jan 2010,7.56
NFLX,Netflix Inc.,Feb 2010,9.06
NFLX,Netflix Inc.,Mar 2010,10.15
NFLX,Netflix Inc.,Apr 2010,12.8
NFLX,Netflix Inc.,May 2010,14.56
NFLX,Netflix Inc.,Jun 2010,16.67
NFLX,Netflix Inc.,Jul 2010,16.04
NFLX,Netflix Inc.,Aug 2010,17.56
NFLX,Netflix Inc.,Sep 2010,21.35
NFLX,Netflix Inc.,Oct 2010,22.85
NFLX,Netflix Inc.,Nov 2010,25.27
NFLX,Netflix Inc.,Dec 2010,26.44
NFLX,Netflix Inc.,Jan 2011,27.08
NFLX,Netflix Inc.,Feb 2011,31.82
NFLX,Netflix Inc.,Mar 2011,30.76
NFLX,Netflix Inc.,Apr 2011,34.06
NFLX,Netflix Inc.,May 2011,34.85
NFLX,Netflix Inc.,Jun 2011,37.05
NFLX,Netflix Inc.,Jul 2011,40.29
NFLX,Netflix Inc.,Aug 2011,33.33
NFLX,Netflix Inc.,Sep 2011,23.96
NFLX,Netflix Inc.,Oct 2011,15.27
NFLX,Netflix Inc.,Nov 2011,11.39
NFLX,Netflix Inc.,Dec 2011,10.04
NFLX,Netflix Inc.,Jan 2012,13.96
NFLX,Netflix Inc.,Feb 2012,17.13
NFLX,Netflix Inc.,Mar 2012,16.14
NFLX,Netflix Inc.,Apr 2012,14.41
NFLX,Netflix Inc.,May 2012,10.43
NFLX,Netflix Inc.,Jun 2012,9.39
NFLX,Netflix Inc.,Jul 2012,10.75
NFLX,Netflix Inc.,Aug 2012,8.68
NFLX,Netflix Inc.,Sep 2012,8.08
NFLX,Netflix Inc.,Oct 2012,9.4
NFLX,Netflix Inc.,Nov 2012,11.43
NFLX,Netflix Inc.,Dec 2012,12.77
NFLX,Netflix Inc.,Jan 2013,16.72
NFLX,Netflix Inc.,Feb 2013,26.2
NFLX,Netflix Inc.,Mar 2013,26.38
NFLX,Netflix Inc.,Apr 2013,26.12
NFLX,Netflix Inc.,May 2013,31.96
NFLX,Netflix Inc.,Jun 2013,31.28
NFLX,Netflix Inc.,Jul 2013,35.16
NFLX,Netflix Inc.,Aug 2013,37.74
NFLX,Netflix Inc.,Sep 2013,43.35
NFLX,Netflix Inc.,Oct 2013,45.96
NFLX,Netflix Inc.,Nov 2013,48.95
NFLX,Netflix Inc.,Dec 2013,52.58
NFLX,Netflix Inc.,Jan 2014,51.3
NFLX,Netflix Inc.,Feb 2014,61.63
NFLX,Netflix Inc.,Mar 2014,59.26
NFLX,Netflix Inc.,Apr 2014,48.66
NFLX,Netflix Inc.,May 2014,51.78
NFLX,Netflix Inc.,Jun 2014,61.9
NFLX,Netflix Inc.,Jul 2014,63.2
NFLX,Netflix Inc.,Aug 2014,65.32
NFLX,Netflix Inc.,Sep 2014,66.12
NFLX,Netflix Inc.,Oct 2014,58.93
NFLX,Netflix Inc.,Nov 2014,53.35
NFLX,Netflix Inc.,Dec 2014,48.51
NFLX,Netflix Inc.,Jan 2015,53.41
NFLX,Netflix Inc.,Feb 2015,66.13
NFLX,Netflix Inc.,Mar 2015,62.52
NFLX,Netflix Inc.,Apr 2015,72.26
NFLX,Netflix Inc.,May 2015,85.2
NFLX,Netflix Inc.,Jun 2015,93.2
NFLX,Netflix Inc.,Jul 2015,104.24
NFLX,Netflix Inc.,Aug 2015,117.5
NFLX,Netflix Inc.,Sep 2015,100.57
NFLX,Netflix Inc.,Oct 2015,105.59
NFLX,Netflix Inc.,Nov 2015,116.07
NFLX,Netflix Inc.,Dec 2015,121.3
NFLX,Netflix Inc.,Jan 2016,105.45
NFLX,Netflix Inc.,Feb 2016,89.97
NFLX,Netflix Inc.,Mar 2016,99.32
NFLX,Netflix Inc.,Apr 2016,100.81
NFLX,Netflix Inc.,May 2016,93.17
